imgnum,mid,text,label
2418,zw7cXzXxt,【提醒！花露水属易燃品 涂完别马上做饭】夏天来了，蚊子也来了，需注意的是：花露水属易燃品，涂抹完之后不要马上做饭、抽烟等。花露水的酒精浓度达70%-75%；且燃点低，一般24℃就能燃烧。花露水燃烧有多可怕？看动态图就知道了。切记！速速转走。[爱心传递]（转）,1
1698,zd3IOzkpi,【赶紧牢记下】新交规施行：闯红灯记6分，罚100元。酒驾记12分、5年内不得再考取驾照。不系安全带记3分，罚100元。副驾不系安全带记1分，罚50元。行驶中拨打手机记3分，罚100元。行驶中抽烟记1分，罚100元。有意遮挡号牌记12分，顶额处罚。超速驾驶记6分。副驾驶有不满14周岁乘坐的记6分，罚300元。,1
956,A1jz7uF8a,今天终于亲眼见到了城.管暴力执法，真是往死里打啊！一群年轻力壮的城.管围殴一个板车小贩，而且下死手，根本不管是不是要害。图中人已经被按在车上了，后脑、脊柱等致命部位暴露无遗。如果不是围观群众上来解围恐怕非死即残。山东那哥们必然也是这么被打残废的。操，谁他妈给你们权力这么对待老百姓的 ​,1
2078,zdFDT6r6H,Mico是中美混血男孩，3周岁，身高1米左右，偏瘦，寸头，离开时身穿绿色棉布大衣、深蓝色裤子、咖色皮鞋，能说简单的中文及英文。于1月7日16：33分左右，在爱绿双语幼儿园门口育秀路段（大润发周边）被抢走，至今下落未明，他的妈妈已近崩溃，望知情者提供线索，求扩散！ @请叫我陈博博 投稿,1
299,zdJBQz2wF,转帖：Mico是中美混血男孩，3周岁，身高1米左右，偏瘦，寸头，离开时身穿绿色棉布大衣、深蓝色裤子、咖色皮鞋，能说简单的中文及英文。于1月7日16：33分左右，🌟在深圳爱绿双语幼儿园门口育秀路段（大润发周边）被抢走，至今下落未明，他的妈妈已近崩溃，望知情者提供线索，求扩散！,1
1472,zDlCV81Cj,看了这个我想哭。。30多年过去了，美军一直在寻找在柬埔寨，越南，老挝，失踪美军士兵遗骸，“挖地三尺”也要找到在亚洲阵亡士兵的遗骸！就为了“带每个人回家”这个承诺，这项工作从来没有停止过！任何人只要找到阵亡的美军遗骸，可以得到25万美元，帮助申请移民美国！,1
855,zxGSAgxMo,大家买牙膏请留心，买牙膏时注意下牙膏管反面底部的颜色条，原来颜色条有含义啊！尽量选择绿色和蓝色，共分4种:绿、蓝、红、黑。 绿色:纯天然 蓝色:天然+药物 红色:天然+化学成分 黑色:纯化学 国内的儿童牙膏居然大多是化学的，  你知道以后如何选择！,1
3040,yA4gj9zy2,真正的遗忘是多年以后，不小心提及你，仿佛说着别人的故事。 [叶子]晚安。,0
258,zk16PemMh,【城管为了赶走路边卖小动物的小贩，把小贩的小动物全部活活踩死】因为小贩收摊慢了点，城管把小动物活活摔死，有小狗、小兔子、小乌龟和宠物鼠。小兔子被踩扁了，小狗的嘴里被踩出了鲜血，好多动物都摔成一团！！就算你要管理，但是也请你们珍惜生命。,1
3901,Ax9Jp5npE,【韩剧剧场：《Three Days》3月5日独家登陆优酷土豆】从《成均馆绯闻》中的花样美男，到《屋塔房王世子》中的萌王世子，再到《想你》中的帅气型男，迷惑了众多少女少妇阿姨的朴有天，带着今年备受关注的SBS新水木剧《Three Days》，将于3月5日独家入驻优酷“韩剧剧场”和土豆“韩娱频道”。,0
